Celsius; Kelvin
0.0; 273.15
0.25; 273.4
0.5; 273.65
0.75; 273.9
1.0; 274.15
1.25; 274.4
1.5; 274.65
1.75; 274.9
2.0; 275.15
2.25; 275.4
2.5; 275.65
2.75; 275.9
3.0; 276.15
3.25; 276.4
3.5; 276.65
3.75; 276.9
4.0; 277.15
4.25; 277.4
4.5; 277.65
4.75; 277.9
5.0; 278.15
5.25; 278.4
5.5; 278.65
5.75; 278.9
6.0; 279.15
6.25; 279.4
6.5; 279.65
6.75; 279.9
7.0; 280.15
7.25; 280.4
7.5; 280.65
7.75; 280.9
8.0; 281.15
8.25; 281.4
8.5; 281.65
8.75; 281.9
9.0; 282.15
9.25; 282.4
9.5; 282.65
9.75; 282.9
10.0; 283.15
10.25; 283.4
10.5; 283.65
10.75; 283.9
11.0; 284.15
11.25; 284.4
11.5; 284.65
11.75; 284.9
12.0; 285.15
12.25; 285.4
12.5; 285.65
12.75; 285.9
13.0; 286.15
13.25; 286.4
13.5; 286.65
13.75; 286.9
14.0; 287.15
14.25; 287.4
14.5; 287.65
14.75; 287.9
15.0; 288.15
15.25; 288.4
15.5; 288.65
15.75; 288.9
16.0; 289.15
16.25; 289.4
16.5; 289.65
16.75; 289.9
17.0; 290.15
17.25; 290.4
17.5; 290.65
17.75; 290.9
18.0; 291.15
18.25; 291.4
18.5; 291.65
18.75; 291.9
19.0; 292.15
19.25; 292.4
19.5; 292.65
19.75; 292.9
20.0; 293.15
20.25; 293.4
20.5; 293.65
20.75; 293.9
21.0; 294.15
21.25; 294.4
21.5; 294.65
21.75; 294.9
22.0; 295.15
22.25; 295.4
22.5; 295.65
22.75; 295.9
23.0; 296.15
23.25; 296.4
23.5; 296.65
23.75; 296.9
24.0; 297.15
24.25; 297.4
24.5; 297.65
24.75; 297.9
25.0; 298.15
25.25; 298.4
25.5; 298.65
25.75; 298.9
26.0; 299.15
26.25; 299.4
26.5; 299.65
26.75; 299.9
27.0; 300.15
27.25; 300.4
27.5; 300.65
27.75; 300.9
28.0; 301.15
28.25; 301.4
28.5; 301.65
28.75; 301.9
29.0; 302.15
29.25; 302.4
29.5; 302.65
29.75; 302.9
30.0; 303.15
30.25; 303.4
30.5; 303.65
30.75; 303.9
31.0; 304.15
31.25; 304.4
31.5; 304.65
31.75; 304.9
32.0; 305.15
32.25; 305.4
32.5; 305.65
32.75; 305.9
33.0; 306.15
33.25; 306.4
33.5; 306.65
33.75; 306.9
34.0; 307.15
34.25; 307.4
34.5; 307.65
34.75; 307.9
35.0; 308.15
35.25; 308.4
35.5; 308.65
35.75; 308.9
36.0; 309.15
36.25; 309.4
36.5; 309.65
36.75; 309.9
37.0; 310.15
37.25; 310.4
37.5; 310.65
37.75; 310.9
38.0; 311.15
38.25; 311.4
38.5; 311.65
38.75; 311.9
39.0; 312.15
39.25; 312.4
39.5; 312.65
39.75; 312.9
40.0; 313.15
40.25; 313.4
40.5; 313.65
40.75; 313.9
41.0; 314.15
41.25; 314.4
41.5; 314.65
41.75; 314.9
42.0; 315.15
42.25; 315.4
42.5; 315.65
42.75; 315.9
43.0; 316.15
43.25; 316.4
43.5; 316.65
43.75; 316.9
44.0; 317.15
44.25; 317.4
44.5; 317.65
44.75; 317.9
45.0; 318.15
45.25; 318.4
45.5; 318.65
45.75; 318.9
46.0; 319.15
46.25; 319.4
46.5; 319.65
46.75; 319.9
47.0; 320.15
47.25; 320.4
47.5; 320.65
47.75; 320.9
48.0; 321.15
48.25; 321.4
48.5; 321.65
48.75; 321.9
49.0; 322.15
49.25; 322.4
49.5; 322.65
49.75; 322.9
50.0; 323.15
50.25; 323.4
50.5; 323.65
50.75; 323.9
51.0; 324.15
51.25; 324.4
51.5; 324.65
51.75; 324.9
52.0; 325.15
52.25; 325.4
52.5; 325.65
52.75; 325.9
53.0; 326.15
53.25; 326.4
53.5; 326.65
53.75; 326.9
54.0; 327.15
54.25; 327.4
54.5; 327.65
54.75; 327.9
55.0; 328.15
55.25; 328.4
55.5; 328.65
55.75; 328.9
56.0; 329.15
56.25; 329.4
56.5; 329.65
56.75; 329.9
57.0; 330.15
57.25; 330.4
57.5; 330.65
57.75; 330.9
58.0; 331.15
58.25; 331.4
58.5; 331.65
58.75; 331.9
59.0; 332.15
59.25; 332.4
59.5; 332.65
59.75; 332.9
60.0; 333.15
60.25; 333.4
60.5; 333.65
60.75; 333.9
61.0; 334.15
61.25; 334.4
61.5; 334.65
61.75; 334.9
62.0; 335.15
62.25; 335.4
62.5; 335.65
62.75; 335.9
63.0; 336.15
63.25; 336.4
63.5; 336.65
63.75; 336.9
64.0; 337.15
64.25; 337.4
64.5; 337.65
64.75; 337.9
65.0; 338.15
65.25; 338.4
65.5; 338.65
65.75; 338.9
66.0; 339.15
66.25; 339.4
66.5; 339.65
66.75; 339.9
67.0; 340.15
67.25; 340.4
67.5; 340.65
67.75; 340.9
68.0; 341.15
68.25; 341.4
68.5; 341.65
68.75; 341.9
69.0; 342.15
69.25; 342.4
69.5; 342.65
69.75; 342.9
70.0; 343.15
70.25; 343.4
70.5; 343.65
70.75; 343.9
71.0; 344.15
71.25; 344.4
71.5; 344.65
71.75; 344.9
72.0; 345.15
72.25; 345.4
72.5; 345.65
72.75; 345.9
73.0; 346.15
73.25; 346.4
73.5; 346.65
73.75; 346.9
74.0; 347.15
74.25; 347.4
74.5; 347.65
74.75; 347.9
75.0; 348.15
75.25; 348.4
75.5; 348.65
75.75; 348.9
76.0; 349.15
76.25; 349.4
76.5; 349.65
76.75; 349.9
77.0; 350.15
77.25; 350.4
77.5; 350.65
77.75; 350.9
78.0; 351.15
78.25; 351.4
78.5; 351.65
78.75; 351.9
79.0; 352.15
79.25; 352.4
79.5; 352.65
79.75; 352.9
80.0; 353.15
80.25; 353.4
80.5; 353.65
80.75; 353.9
81.0; 354.15
81.25; 354.4
81.5; 354.65
81.75; 354.9
82.0; 355.15
82.25; 355.4
82.5; 355.65
82.75; 355.9
83.0; 356.15
83.25; 356.4
83.5; 356.65
83.75; 356.9
84.0; 357.15
84.25; 357.4
84.5; 357.65
84.75; 357.9
85.0; 358.15
85.25; 358.4
85.5; 358.65
85.75; 358.9
86.0; 359.15
86.25; 359.4
86.5; 359.65
86.75; 359.9
87.0; 360.15
87.25; 360.4
87.5; 360.65
87.75; 360.9
88.0; 361.15
88.25; 361.4
88.5; 361.65
88.75; 361.9
89.0; 362.15
89.25; 362.4
89.5; 362.65
89.75; 362.9
90.0; 363.15
90.25; 363.4
90.5; 363.65
90.75; 363.9
91.0; 364.15
91.25; 364.4
91.5; 364.65
91.75; 364.9
92.0; 365.15
92.25; 365.4
92.5; 365.65
92.75; 365.9
93.0; 366.15
93.25; 366.4
93.5; 366.65
93.75; 366.9
94.0; 367.15
94.25; 367.4
94.5; 367.65
94.75; 367.9
95.0; 368.15
95.25; 368.4
95.5; 368.65
95.75; 368.9
96.0; 369.15
96.25; 369.4
96.5; 369.65
96.75; 369.9
97.0; 370.15
97.25; 370.4
97.5; 370.65
97.75; 370.9
98.0; 371.15
98.25; 371.4
98.5; 371.65
98.75; 371.9
99.0; 372.15
99.25; 372.4
99.5; 372.65
99.75; 372.9
100.0; 373.15
